"","Timestamp","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10"
"91","7/9/2023 3:08:17",4,2,4,NA,NA,1,4,2,NA,NA
"92","7/9/2023 10:31:10",5,NA,4,2,4,NA,NA,NA,4,2
"93","7/9/2023 17:54:03",4,NA,4,NA,4,2,NA,2,NA,2
"94","7/10/2023 1:16:56",4,2,4,2,4,2,NA,1,4,2
"95","7/10/2023 8:39:49",4,NA,4,2,2,1,5,NA,4,NA
"96","7/10/2023 16:02:42",NA,NA,NA,NA,5,NA,5,NA,4,2
"97","7/10/2023 23:25:35",2,2,NA,2,4,NA,NA,NA,5,NA
"98","7/11/2023 6:48:28",5,1,4,4,NA,NA,4,2,2,NA
"99","7/11/2023 14:11:21",4,4,NA,NA,NA,4,5,NA,4,2
"100","7/11/2023 21:34:14",5,1,4,2,5,NA,4,NA,NA,2
